episode,total_reward,total_success,total_error,steps
1,-12.098158240318298,15,10,25
2,-2.0264370799064655,16,9,25
3,-2.0475798726081846,16,9,25
4,-2.0374128460884093,16,9,25
5,-2.040360569953918,16,9,25
6,-2.0296667098999026,16,9,25
7,-2.0328140258789076,16,9,25
8,-2.035350251197817,16,9,25
9,-2.0242886781692526,16,9,25
10,-2.0273535132408145,16,9,25
