Wall time,Step,Value
1761620100.1921296,256,13.833333015441895
1761620365.2297158,512,14.342857360839844
1761620632.776236,768,14.5
1761620901.0342612,1024,15.04411792755127
1761621165.9267771,1280,14.988235473632812
1761621440.325346,1536,15.100000381469727
1761621713.9905736,1792,15.699999809265137
1761621964.6778567,2048,15.9399995803833
