Wall time,Step,Value
1761625285.1972015,256,-10.587499618530273
1761625534.5143852,512,-10.495454788208008
1761625782.1834574,768,-10.609000205993652
1761626044.3920968,1024,-10.624615669250488
1761626304.5626183,1280,-9.822221755981445
1761626574.5905414,1536,-9.606700897216797
1761626840.0658636,1792,-9.440999984741211
1761627072.4671388,2048,-9.237000465393066
