episode,total_reward,total_success,total_error,steps
1,-15.350000000000001,11,11,22
2,-19.349999999999998,6,11,17
3,-19.349999999999998,6,11,17
4,-19.349999999999998,6,11,17
5,-19.349999999999998,6,11,17
6,-19.349999999999998,6,11,17
7,-19.349999999999998,6,11,17
8,-19.349999999999998,6,11,17
9,-19.349999999999998,6,11,17
10,-19.349999999999998,6,11,17
