Wall time,Step,Value
1761258274.774254,2048,59.66165542602539
1761258277.8900812,4096,57.76326370239258
1761258280.6468766,6144,59.94502639770508
1761258283.383914,8192,59.341453552246094
1761258286.0771842,10240,60.775543212890625
1761258288.8333545,12288,63.44120407104492
1761258291.4423366,14336,64.18620300292969
1761258294.203831,16384,64.68799591064453
1761258296.8530324,18432,66.01422119140625
1761258299.5799217,20480,63.09902572631836
1761258302.268022,22528,61.35803985595703
1761258305.1075656,24576,60.17402648925781
1761258307.8394592,26624,58.86963653564453
1761258310.6941164,28672,61.663536071777344
1761258313.511824,30720,61.80252456665039
1761258316.2539406,32768,62.237369537353516
1761258319.0693066,34816,62.244415283203125
1761258321.8181984,36864,60.944400787353516
1761258324.7074175,38912,61.8141975402832
1761258327.521711,40960,62.37165832519531
1761258330.396217,43008,62.010459899902344
1761258333.1998737,45056,61.27878952026367
1761258336.1448953,47104,60.55686950683594
1761258338.982252,49152,59.431175231933594
1761258341.872908,51200,58.58917999267578
1761258344.789263,53248,58.08571243286133
1761258347.650015,55296,59.013877868652344
1761258350.613129,57344,59.89423751831055
1761258353.5040257,59392,61.10981750488281
1761258356.5032263,61440,61.993865966796875
1761258359.3394647,63488,61.779056549072266
1761258362.3208644,65536,60.848167419433594
1761258365.2015276,67584,62.504112243652344
1761258368.0160139,69632,63.73078155517578
1761258370.9075606,71680,64.8426284790039
1761258373.771845,73728,65.73829650878906
1761258376.6815114,75776,64.04956817626953
1761258379.6412532,77824,65.313232421875
1761258382.558733,79872,67.2563705444336
1761258385.4135208,81920,71.31352996826172
1761258388.3877697,83968,71.35185241699219
1761258391.3180008,86016,73.01531219482422
1761258394.1658082,88064,74.28492736816406
1761258397.0549483,90112,74.55403900146484
1761258399.914749,92160,74.64641571044922
1761258402.8346467,94208,78.4170913696289
1761258405.692275,96256,80.62223815917969
1761258408.5770652,98304,81.59751892089844
1761258411.469907,100352,83.02308654785156
1761258414.4209702,102400,84.07784271240234
1761258417.3407912,104448,86.17813873291016
1761258420.5904748,106496,87.58409118652344
1761258423.575054,108544,87.52862548828125
1761258426.5544655,110592,88.43062591552734
1761258429.500075,112640,87.42521667480469
1761258432.4045885,114688,87.29853057861328
1761258435.30477,116736,86.68011474609375
1761258438.3402722,118784,86.20488739013672
1761258441.2822304,120832,86.49797058105469
1761258444.2060757,122880,87.31793212890625
1761258447.0723338,124928,89.09236145019531
1761258450.0011532,126976,89.59895324707031
1761258452.8999295,129024,89.93913269042969
1761258455.844088,131072,89.80231475830078
1761258458.7494295,133120,89.6032943725586
1761258461.6595373,135168,90.38590240478516
1761258464.714966,137216,90.51622772216797
1761258467.7166228,139264,90.09489440917969
1761258470.6663241,141312,89.89146423339844
1761258473.5348947,143360,89.42549133300781
1761258476.5037508,145408,89.32842254638672
1761258479.5164287,147456,88.76950073242188
1761258482.3859875,149504,88.6918716430664
1761258485.3900514,151552,89.468505859375
1761258488.3747017,153600,89.30570220947266
1761258491.3681927,155648,89.22248077392578
1761258494.2807157,157696,90.16049194335938
1761258497.1917615,159744,91.19556427001953
1761258500.126322,161792,91.12889099121094
1761258503.0538208,163840,90.69347381591797
1761258506.075231,165888,91.05719757080078
1761258509.5681136,167936,91.52549743652344
1761258512.6397848,169984,90.81536865234375
1761258515.8172085,172032,88.57770538330078
1761258518.8591526,174080,88.34329223632812
1761258521.9324825,176128,86.96661376953125
1761258524.90923,178176,85.52335357666016
1761258527.9622085,180224,84.67074584960938
1761258531.1425796,182272,85.5968246459961
1761258534.2291968,184320,87.04472351074219
1761258537.3271706,186368,88.154052734375
1761258540.4073627,188416,91.10746765136719
1761258544.073426,190464,92.35824584960938
1761258547.3399453,192512,92.26387023925781
1761258550.3917878,194560,91.74256896972656
