Wall time,Step,Value
1761276342.321776,55000,-15.4413480758667
1761276343.0878947,55500,-14.746641159057617
1761276343.8471038,56000,-14.15219497680664
1761276344.6063716,56500,-13.4354887008667
1761276345.3701706,57000,-13.127582550048828
1761276346.1499395,57500,-12.131631851196289
1761276346.9169192,58000,-11.48239517211914
1761276347.7291164,58500,-10.829242706298828
1761276348.5028858,59000,-10.43338394165039
1761276349.2532034,59500,-10.329651832580566
1761276350.039439,60000,-9.467364311218262
1761276350.8295634,60500,-8.698951721191406
1761276351.6007931,61000,-8.01965618133545
1761276352.3951805,61500,-7.06247615814209
1761276353.1738293,62000,-6.196455955505371
1761276353.9448657,62500,-5.800454616546631
1761276354.724584,63000,-5.1527485847473145
1761276355.511829,63500,-4.333181858062744
1761276356.2827027,64000,-3.6449906826019287
1761276357.0927346,64500,-3.1737427711486816
1761276357.8767872,65000,-2.127432346343994
1761276358.6170924,65500,-1.3910959959030151
1761276359.402246,66000,-0.9173182845115662
1761276360.1884115,66500,-0.6703771948814392
1761276360.9790988,67000,0.8486951589584351
1761276361.7704632,67500,1.5440020561218262
1761276362.5612779,68000,2.0651774406433105
1761276363.344127,68500,2.7679152488708496
1761276364.0952938,69000,3.0547542572021484
1761276364.8729453,69500,3.7635228633880615
1761276365.6669345,70000,4.166789531707764
1761276366.441976,70500,4.256185054779053
1761276367.2141316,71000,4.295375823974609
1761276367.988342,71500,4.91865348815918
1761276368.7757685,72000,5.375209331512451
1761276369.5727055,72500,6.013016700744629
1761276370.3784528,73000,6.769435882568359
1761276371.1813583,73500,7.410426139831543
1761276371.9640346,74000,8.12120532989502
1761276372.7540145,74500,8.626941680908203
1761276373.5488915,75000,9.34987735748291
1761276374.3320234,75500,10.21210765838623
1761276375.170985,76000,10.891549110412598
1761276375.9550412,76500,11.509861946105957
1761276376.7370725,77000,11.56458854675293
1761276377.5398278,77500,12.296220779418945
1761276378.3268168,78000,13.031506538391113
1761276379.12585,78500,13.667024612426758
1761276379.914184,79000,14.222679138183594
1761276380.6967485,79500,14.949321746826172
1761276381.4984457,80000,15.066916465759277
1761276382.2925627,80500,15.633728981018066
1761276383.098698,81000,15.780187606811523
1761276383.8923638,81500,16.055973052978516
1761276384.6857252,82000,16.289478302001953
1761276385.4700043,82500,16.674535751342773
1761276386.25361,83000,17.370380401611328
1761276387.0177648,83500,17.358356475830078
1761276387.80283,84000,17.865434646606445
1761276388.5987475,84500,17.837417602539062
1761276389.4479597,85000,18.042285919189453
1761276390.2562947,85500,18.64321517944336
1761276391.0605898,86000,18.999624252319336
1761276391.8133693,86500,19.12569808959961
1761276392.616533,87000,19.192277908325195
1761276393.4003153,87500,18.74134635925293
1761276394.1809716,88000,18.50568199157715
1761276394.9686935,88500,18.514556884765625
1761276395.764262,89000,18.858638763427734
1761276396.5384672,89500,19.238679885864258
1761276397.3248286,90000,19.49541473388672
1761276398.1224723,90500,19.83932876586914
1761276398.8883026,91000,19.792383193969727
1761276399.6754878,91500,19.34952735900879
1761276400.4569876,92000,19.225629806518555
1761276401.2687051,92500,18.592309951782227
1761276402.0529969,93000,18.41838836669922
1761276402.8577445,93500,18.416425704956055
1761276403.7439704,94000,19.1289119720459
1761276404.530433,94500,19.73098373413086
1761276405.3045218,95000,19.706666946411133
1761276406.1131902,95500,19.83309555053711
1761276406.8854485,96000,20.310659408569336
1761276407.6612165,96500,20.836509704589844
1761276408.4730551,97000,21.143943786621094
1761276409.3194644,97500,21.88710594177246
1761276410.1365232,98000,22.026599884033203
1761276410.9831944,98500,22.04244041442871
