Wall time,Step,Value
1761269828.8639288,500,75.33333587646484
1761269829.9169211,1000,80.33333587646484
1761269830.7882233,1500,86.94117736816406
1761269831.6202993,2000,88.0952377319336
1761269832.5850818,2500,103.58333587646484
1761269833.4005773,3000,105.89286041259766
1761269834.1583145,3500,110.67742156982422
1761269834.8741221,4000,117.03030395507812
1761269835.5833504,4500,125.0
1761269836.2888958,5000,131.13157653808594
1761269837.0082042,5500,133.34146118164062
1761269837.7093244,6000,137.55813598632812
1761269838.4392958,6500,139.69564819335938
1761269839.1566467,7000,143.1666717529297
1761269839.882541,7500,147.0
1761269840.6057363,8000,146.15093994140625
1761269841.3433552,8500,149.89285278320312
1761269842.0961204,9000,152.44827270507812
1761269842.9054878,9500,154.48333740234375
1761269843.6459036,10000,159.2096710205078
1761269844.3846471,10500,160.6875
1761269845.1443655,11000,164.48484802246094
1761269845.9045458,11500,167.48529052734375
1761269846.7078278,12000,168.56338500976562
1761269847.455198,12500,170.21917724609375
1761269848.228573,13000,170.8157958984375
1761269848.9996862,13500,170.3205108642578
1761269849.7784128,14000,172.9375
1761269850.5844285,14500,171.9166717529297
1761269851.3881052,15000,171.6511688232422
1761269852.179139,15500,171.08888244628906
1761269852.9763398,16000,169.3297882080078
1761269853.8283038,16500,168.94845581054688
1761269854.6429539,17000,168.61000061035156
1761269855.559724,17500,169.4199981689453
1761269856.368953,18000,174.27000427246094
1761269857.264752,18500,178.00999450683594
1761269858.1174297,19000,178.99000549316406
1761269858.978399,19500,180.14999389648438
1761269859.8182273,20000,183.0500030517578
1761269860.7113972,20500,184.3000030517578
1761269861.5367286,21000,182.39999389648438
1761269862.361379,21500,183.52999877929688
1761269863.1732006,22000,184.44000244140625
1761269863.9904673,22500,180.3699951171875
1761269864.828441,23000,179.22000122070312
1761269865.6372435,23500,179.5
1761269866.4926953,24000,176.63999938964844
1761269867.3455348,24500,178.1300048828125
1761269868.1857264,25000,177.42999267578125
1761269869.022072,25500,177.60000610351562
1761269869.88662,26000,176.05999755859375
1761269870.696149,26500,175.7899932861328
1761269871.5304866,27000,174.58999633789062
1761269872.3638759,27500,169.58999633789062
1761269873.2342563,28000,166.3300018310547
1761269874.0673416,28500,164.50999450683594
1761269874.9167607,29000,162.52999877929688
1761269875.7518206,29500,162.91000366210938
1761269876.579595,30000,163.86000061035156
1761269877.4058921,30500,162.72999572753906
1761269878.239263,31000,164.02000427246094
1761269879.0619414,31500,167.3000030517578
1761269879.8889217,32000,166.9499969482422
1761269880.7453945,32500,170.80999755859375
1761269881.5887048,33000,171.63999938964844
1761269882.4341574,33500,174.39999389648438
1761269883.2992382,34000,177.74000549316406
1761269884.1485157,34500,180.67999267578125
